Epoch,TrainError,TrainAcc,TestAcc
1,0.047615,0.8102,0.7995
2,0.038723,0.8271,0.8141
3,0.036685,0.8031,0.7905
4,0.035392,0.8355,0.8219
5,0.034694,0.8210,0.8056
6,0.033994,0.8341,0.8224
7,0.033822,0.8392,0.8253
8,0.033340,0.8343,0.8221
9,0.032545,0.8306,0.8190
10,0.032421,0.8428,0.8267
11,0.032264,0.8398,0.8254
12,0.032318,0.8235,0.8052
13,0.031758,0.8454,0.8315
14,0.031766,0.8420,0.8249
15,0.031436,0.8389,0.8235
16,0.031268,0.8444,0.8264
17,0.031343,0.8483,0.8319
18,0.031138,0.8493,0.8320
19,0.031008,0.8448,0.8275
20,0.030628,0.8393,0.8220
21,0.030980,0.8336,0.8150
22,0.030714,0.8470,0.8309
23,0.030443,0.8399,0.8230
24,0.030513,0.8389,0.8230
25,0.030493,0.8468,0.8284
26,0.030251,0.8501,0.8340
27,0.030246,0.8478,0.8291
28,0.030030,0.8312,0.8144
29,0.029933,0.8461,0.8278
30,0.029876,0.8424,0.8267
