Epoch,TrainError,TrainAcc,TestAcc
1,0.082609,0.8304,0.8166
2,0.046202,0.8352,0.8237
3,0.041950,0.8667,0.8488
4,0.040423,0.8641,0.8462
5,0.038901,0.8645,0.8447
6,0.038085,0.8641,0.8452
7,0.037009,0.8658,0.8483
8,0.036980,0.8576,0.8406
9,0.036648,0.8602,0.8447
10,0.036305,0.8783,0.8611
11,0.036712,0.8637,0.8539
12,0.036802,0.8425,0.8252
13,0.036817,0.8569,0.8367
14,0.037649,0.8385,0.8163
15,0.037054,0.8691,0.8527
16,0.036081,0.8757,0.8544
17,0.035994,0.8628,0.8446
18,0.036204,0.8426,0.8259
19,0.036231,0.8314,0.8157
20,0.036814,0.8476,0.8329
21,0.037706,0.8249,0.8101
22,0.039584,0.8377,0.8213
23,0.040662,0.7972,0.7890
24,0.045766,0.8361,0.8203
25,0.049796,0.7121,0.6988
26,0.053511,0.8076,0.7978
27,0.057483,0.6467,0.6397
28,0.056400,0.6904,0.6849
29,0.055388,0.7672,0.7544
30,0.053398,0.6928,0.6801
