Epoch,TrainError,TrainAcc,TestAcc
1,0.031788,0.8957,0.9037
2,0.024889,0.9044,0.9071
3,0.023211,0.9098,0.9096
4,0.022409,0.9089,0.9094
5,0.021661,0.9085,0.9102
6,0.021271,0.9077,0.9111
7,0.020826,0.9126,0.9129
8,0.020524,0.9051,0.9081
9,0.020424,0.9108,0.9130
10,0.020164,0.9154,0.9143
11,0.019851,0.9135,0.9110
12,0.019890,0.9133,0.9150
13,0.019569,0.9147,0.9147
14,0.019308,0.9139,0.9135
15,0.019362,0.9128,0.9122
16,0.019222,0.9160,0.9146
17,0.019124,0.9152,0.9154
18,0.019023,0.9145,0.9144
19,0.018851,0.9159,0.9149
20,0.018810,0.9081,0.9084
21,0.018721,0.9167,0.9176
22,0.018579,0.9154,0.9156
23,0.018540,0.9160,0.9155
24,0.018485,0.9175,0.9155
25,0.018343,0.9164,0.9157
26,0.018326,0.9128,0.9125
27,0.018228,0.9170,0.9170
28,0.018159,0.9137,0.9142
29,0.018069,0.9164,0.9132
30,0.018035,0.9087,0.9094
