Epoch,TrainError,TrainAcc,TestAcc
1,0.031610,0.8909,0.8977
2,0.024855,0.8924,0.8943
3,0.023201,0.9046,0.9074
4,0.022426,0.9067,0.9079
5,0.021795,0.9051,0.9053
6,0.021207,0.9128,0.9126
7,0.020956,0.9114,0.9128
8,0.020730,0.9130,0.9150
9,0.020295,0.9106,0.9110
10,0.020176,0.9080,0.9096
11,0.020043,0.9139,0.9159
12,0.019830,0.9145,0.9149
13,0.019552,0.9151,0.9156
14,0.019480,0.9149,0.9148
15,0.019444,0.9126,0.9120
16,0.019178,0.9154,0.9151
17,0.019126,0.9146,0.9156
18,0.019000,0.9125,0.9129
19,0.018794,0.9169,0.9161
20,0.018735,0.9148,0.9149
21,0.018665,0.9152,0.9145
22,0.018680,0.9160,0.9146
23,0.018544,0.9134,0.9133
24,0.018371,0.9161,0.9152
25,0.018411,0.9169,0.9128
26,0.018415,0.9184,0.9159
27,0.018200,0.9152,0.9149
28,0.018201,0.9146,0.9104
29,0.018068,0.9157,0.9126
30,0.018037,0.9176,0.9179
