Epoch,TrainError,TrainAcc,TestAcc
1,0.067588,0.9406,0.9417
2,0.019023,0.9557,0.9530
3,0.014120,0.9639,0.9553
4,0.012208,0.9668,0.9591
5,0.010230,0.9753,0.9665
6,0.008995,0.9789,0.9688
7,0.008510,0.9645,0.9564
8,0.008010,0.9818,0.9693
9,0.007307,0.9805,0.9694
10,0.006685,0.9827,0.9724
11,0.006497,0.9839,0.9731
12,0.006038,0.9808,0.9690
13,0.005410,0.9854,0.9739
14,0.005291,0.9875,0.9726
15,0.004908,0.9868,0.9726
16,0.004588,0.9874,0.9729
17,0.004340,0.9894,0.9727
18,0.004440,0.9879,0.9710
19,0.004104,0.9879,0.9718
20,0.004060,0.9877,0.9704
21,0.003739,0.9866,0.9711
22,0.004040,0.9885,0.9715
23,0.003530,0.9911,0.9733
24,0.003454,0.9913,0.9742
25,0.003292,0.9899,0.9739
26,0.003109,0.9926,0.9732
27,0.002991,0.9918,0.9744
28,0.003029,0.9922,0.9759
29,0.002957,0.9930,0.9748
30,0.002788,0.9945,0.9785
