Epoch,TrainError,TrainAcc,TestAcc
1,0.027207,0.9554,0.9547
2,0.014045,0.9659,0.9611
3,0.011565,0.9706,0.9627
4,0.010055,0.9723,0.9651
5,0.009036,0.9738,0.9656
6,0.008341,0.9763,0.9661
7,0.007648,0.9805,0.9714
8,0.007287,0.9805,0.9703
9,0.006908,0.9817,0.9702
10,0.006258,0.9822,0.9671
11,0.005893,0.9837,0.9710
12,0.005517,0.9838,0.9704
13,0.005466,0.9852,0.9710
14,0.005311,0.9845,0.9694
15,0.004791,0.9872,0.9739
16,0.004492,0.9849,0.9717
17,0.004512,0.9873,0.9731
18,0.004391,0.9860,0.9707
19,0.004012,0.9868,0.9717
20,0.003924,0.9890,0.9737
21,0.003657,0.9899,0.9745
22,0.003555,0.9904,0.9773
23,0.003437,0.9912,0.9764
24,0.003277,0.9918,0.9744
25,0.003088,0.9910,0.9726
26,0.003222,0.9925,0.9747
27,0.002830,0.9916,0.9719
28,0.002785,0.9924,0.9757
29,0.002755,0.9919,0.9742
30,0.002684,0.9934,0.9759
