Epoch,TrainError,TrainAcc,TestAcc
1,0.029777,0.9619,0.9587
2,0.014026,0.9732,0.9676
3,0.010995,0.9761,0.9658
4,0.009255,0.9796,0.9681
5,0.007976,0.9825,0.9721
6,0.007059,0.9859,0.9741
7,0.006175,0.9876,0.9766
8,0.005626,0.9888,0.9768
9,0.005092,0.9897,0.9753
10,0.004789,0.9903,0.9762
11,0.004279,0.9911,0.9744
12,0.003876,0.9927,0.9773
13,0.003605,0.9932,0.9761
14,0.003236,0.9941,0.9785
15,0.003061,0.9941,0.9779
16,0.002899,0.9946,0.9778
17,0.002602,0.9949,0.9779
18,0.002508,0.9955,0.9796
19,0.002186,0.9953,0.9773
20,0.002086,0.9959,0.9794
21,0.001849,0.9961,0.9799
22,0.001681,0.9963,0.9795
23,0.001573,0.9962,0.9787
24,0.001508,0.9963,0.9797
25,0.001321,0.9964,0.9798
26,0.001245,0.9964,0.9802
27,0.001154,0.9965,0.9803
28,0.001118,0.9966,0.9804
29,0.001082,0.9966,0.9799
30,0.001053,0.9967,0.9805
