Epoch,TrainError,TrainAcc,TestAcc
1,0.058294,0.9310,0.9298
2,0.016339,0.9558,0.9526
3,0.012781,0.9689,0.9629
4,0.010389,0.9691,0.9640
5,0.008919,0.9803,0.9709
6,0.007586,0.9783,0.9699
7,0.006557,0.9806,0.9696
8,0.006037,0.9836,0.9704
9,0.005552,0.9876,0.9754
10,0.004869,0.9876,0.9747
11,0.004414,0.9889,0.9728
12,0.003816,0.9900,0.9746
13,0.003262,0.9929,0.9792
14,0.002821,0.9939,0.9815
15,0.002589,0.9948,0.9804
16,0.002204,0.9951,0.9810
17,0.001941,0.9960,0.9820
18,0.001701,0.9964,0.9815
19,0.001558,0.9966,0.9822
20,0.001410,0.9968,0.9824
21,0.001365,0.9970,0.9825
22,0.001299,0.9970,0.9818
23,0.001255,0.9971,0.9823
24,0.001216,0.9971,0.9820
25,0.001194,0.9972,0.9817
26,0.001167,0.9972,0.9815
27,0.001157,0.9972,0.9820
28,0.001144,0.9972,0.9819
29,0.001139,0.9972,0.9819
30,0.001131,0.9972,0.9818
