Test,Architecture,LearningRate,Shuffle,Decay,Epochs,TrainAcc,TestAcc,TimeMs
T1_baseline,784-10,0.50,true,false,30,0.9176,0.9179,35478
T2_neurons_32,784-32-10,0.50,true,false,30,0.9770,0.9580,95910
T2_neurons_64,784-64-10,0.50,true,false,30,0.9924,0.9726,193003
T2_neurons_128,784-128-10,0.50,true,false,30,0.9971,0.9818,416688
T2_neurons_256,784-256-10,0.50,true,false,30,0.9970,0.9824,866078
T3_layers_0,784-10,0.50,true,false,30,0.9164,0.9146,34886
T3_layers_1,784-128-10,0.50,true,false,30,0.9964,0.9802,396808
T3_layers_2,784-128-64-10,0.50,true,false,30,0.9945,0.9785,411531
T4_lr_0.1,784-128-10,0.10,true,false,30,0.9956,0.9801,394721
T4_lr_0.3,784-128-10,0.30,true,false,30,0.9965,0.9799,391560
T4_lr_0.5,784-128-10,0.50,true,false,30,0.9968,0.9806,388497
T4_lr_0.8,784-128-10,0.80,true,false,30,0.9956,0.9779,376154
T4_lr_1.0,784-128-10,1.00,true,false,30,0.9934,0.9759,400972
T5_decay_off,784-128-10,0.50,true,false,30,0.9960,0.9794,399006
T5_decay_on,784-128-10,0.50,true,true,30,0.9958,0.9796,410485
T6_shuffle_off,784-128-10,0.50,false,false,30,0.9960,0.9799,408422
T6_shuffle_on,784-128-10,0.50,true,false,30,0.9967,0.9805,395666
T7_optimal,784-256-128-10,0.80,true,true,30,0.9972,0.9818,1028117
F1_baseline,784-10,0.50,true,false,30,0.8424,0.8267,35625
F2_1layer,784-128-10,0.50,true,false,30,0.7755,0.7650,398123
F3_2layers,784-256-128-10,0.50,true,false,30,0.6928,0.6801,964548
F4_optimal,784-256-128-10,0.80,true,true,30,0.9171,0.8802,969476
