Epoch,TrainError,TrainAcc,TestAcc
1,0.076226,0.8098,0.8011
2,0.047763,0.8256,0.8163
3,0.044778,0.8272,0.8079
4,0.043297,0.8192,0.8017
5,0.042408,0.8295,0.8203
6,0.040856,0.8540,0.8422
7,0.040274,0.8102,0.7977
8,0.039461,0.8590,0.8426
9,0.039389,0.8639,0.8462
10,0.038474,0.8600,0.8464
11,0.037711,0.8629,0.8464
12,0.037085,0.8659,0.8501
13,0.036644,0.8682,0.8468
14,0.036028,0.8621,0.8417
15,0.035508,0.8804,0.8604
16,0.034552,0.8632,0.8400
17,0.033792,0.8742,0.8532
18,0.033884,0.8869,0.8648
19,0.032879,0.8760,0.8506
20,0.032635,0.8773,0.8526
21,0.031885,0.8838,0.8614
22,0.031056,0.8934,0.8676
23,0.030527,0.8948,0.8734
24,0.029723,0.8981,0.8731
25,0.029273,0.8949,0.8688
26,0.028364,0.9046,0.8751
27,0.027596,0.9100,0.8778
28,0.026838,0.9115,0.8784
29,0.026211,0.9139,0.8785
30,0.025714,0.9171,0.8802
