Epoch,TrainError,TrainAcc,TestAcc
1,0.033859,0.9443,0.9410
2,0.019236,0.9554,0.9496
3,0.016319,0.9480,0.9414
4,0.014843,0.9586,0.9514
5,0.013710,0.9645,0.9547
6,0.013039,0.9656,0.9563
7,0.012461,0.9666,0.9553
8,0.011688,0.9678,0.9567
9,0.011300,0.9692,0.9599
10,0.010919,0.9683,0.9576
11,0.010560,0.9692,0.9565
12,0.010227,0.9712,0.9586
13,0.009882,0.9696,0.9582
14,0.009748,0.9703,0.9570
15,0.009486,0.9740,0.9607
16,0.009268,0.9714,0.9576
17,0.009060,0.9746,0.9592
18,0.008716,0.9758,0.9597
19,0.008521,0.9732,0.9579
20,0.008489,0.9707,0.9542
21,0.008119,0.9751,0.9565
22,0.008051,0.9760,0.9594
23,0.008024,0.9738,0.9555
24,0.007805,0.9768,0.9554
25,0.007652,0.9774,0.9566
26,0.007533,0.9765,0.9583
27,0.007377,0.9765,0.9588
28,0.007274,0.9769,0.9581
29,0.007007,0.9779,0.9585
30,0.007037,0.9764,0.9580
