Epoch,TrainError,TrainAcc,TestAcc
1,0.030852,0.9598,0.9565
2,0.013891,0.9726,0.9660
3,0.010704,0.9775,0.9683
4,0.008760,0.9811,0.9698
5,0.007374,0.9858,0.9751
6,0.006401,0.9873,0.9749
7,0.005635,0.9894,0.9785
8,0.004874,0.9906,0.9778
9,0.004399,0.9916,0.9774
10,0.003948,0.9925,0.9789
11,0.003584,0.9935,0.9793
12,0.003231,0.9941,0.9797
13,0.002879,0.9949,0.9802
14,0.002562,0.9950,0.9814
15,0.002314,0.9957,0.9795
16,0.002183,0.9958,0.9807
17,0.001986,0.9960,0.9812
18,0.001748,0.9961,0.9807
19,0.001660,0.9964,0.9820
20,0.001420,0.9964,0.9832
21,0.001361,0.9965,0.9820
22,0.001262,0.9966,0.9820
23,0.001158,0.9966,0.9826
24,0.001088,0.9967,0.9822
25,0.001055,0.9967,0.9825
26,0.001019,0.9968,0.9825
27,0.001003,0.9969,0.9825
28,0.000984,0.9969,0.9828
29,0.000958,0.9970,0.9822
30,0.000927,0.9970,0.9824
