Epoch,TrainError,TrainAcc,TestAcc
1,0.031498,0.8965,0.9023
2,0.024930,0.8952,0.9000
3,0.023369,0.9081,0.9075
4,0.022411,0.9085,0.9096
5,0.021771,0.9072,0.9109
6,0.021237,0.9093,0.9076
7,0.021015,0.9152,0.9147
8,0.020624,0.9143,0.9147
9,0.020290,0.9139,0.9157
10,0.020303,0.9132,0.9129
11,0.020004,0.9132,0.9140
12,0.019732,0.9138,0.9150
13,0.019627,0.9151,0.9130
14,0.019437,0.9165,0.9136
15,0.019311,0.9154,0.9143
16,0.019079,0.9144,0.9130
17,0.019036,0.9148,0.9159
18,0.018911,0.9167,0.9164
19,0.018838,0.9153,0.9128
20,0.018723,0.9136,0.9145
21,0.018649,0.9159,0.9140
22,0.018676,0.9157,0.9135
23,0.018554,0.9163,0.9151
24,0.018425,0.9154,0.9152
25,0.018412,0.9164,0.9164
26,0.018389,0.9151,0.9127
27,0.018246,0.9147,0.9130
28,0.018221,0.9134,0.9111
29,0.018129,0.9148,0.9148
30,0.017946,0.9164,0.9146
