Epoch,TrainError,TrainAcc,TestAcc
1,0.029550,0.9572,0.9535
2,0.013759,0.9721,0.9661
3,0.010575,0.9761,0.9680
4,0.008942,0.9799,0.9710
5,0.007623,0.9839,0.9745
6,0.006688,0.9856,0.9752
7,0.006046,0.9865,0.9725
8,0.005367,0.9889,0.9756
9,0.004855,0.9901,0.9759
10,0.004469,0.9921,0.9768
11,0.003990,0.9927,0.9783
12,0.003630,0.9926,0.9769
13,0.003457,0.9926,0.9780
14,0.003205,0.9927,0.9762
15,0.002951,0.9947,0.9781
16,0.002717,0.9949,0.9791
17,0.002472,0.9949,0.9783
18,0.002282,0.9954,0.9804
19,0.002073,0.9959,0.9800
20,0.001846,0.9960,0.9798
21,0.001729,0.9960,0.9783
22,0.001565,0.9962,0.9791
23,0.001466,0.9962,0.9800
24,0.001370,0.9965,0.9789
25,0.001306,0.9964,0.9799
26,0.001239,0.9965,0.9793
27,0.001229,0.9966,0.9797
28,0.001157,0.9967,0.9800
29,0.001101,0.9968,0.9801
30,0.001071,0.9968,0.9806
