Epoch,TrainError,TrainAcc,TestAcc
1,0.029536,0.9599,0.9558
2,0.013741,0.9727,0.9660
3,0.010885,0.9763,0.9674
4,0.009121,0.9816,0.9705
5,0.007810,0.9845,0.9722
6,0.006927,0.9862,0.9765
7,0.006158,0.9874,0.9752
8,0.005638,0.9880,0.9754
9,0.005010,0.9893,0.9767
10,0.004694,0.9912,0.9784
11,0.004113,0.9922,0.9777
12,0.003782,0.9920,0.9770
13,0.003439,0.9926,0.9784
14,0.003145,0.9936,0.9789
15,0.002871,0.9938,0.9788
16,0.002639,0.9942,0.9795
17,0.002468,0.9944,0.9796
18,0.002273,0.9948,0.9796
19,0.002009,0.9950,0.9786
20,0.001908,0.9951,0.9797
21,0.001806,0.9954,0.9803
22,0.001555,0.9954,0.9796
23,0.001449,0.9955,0.9793
24,0.001369,0.9956,0.9796
25,0.001313,0.9957,0.9792
26,0.001294,0.9958,0.9792
27,0.001256,0.9958,0.9797
28,0.001212,0.9958,0.9802
29,0.001188,0.9959,0.9797
30,0.001159,0.9960,0.9794
