Epoch,TrainError,TrainAcc,TestAcc
1,0.029044,0.9612,0.9591
2,0.013595,0.9712,0.9681
3,0.010551,0.9784,0.9696
4,0.008940,0.9822,0.9728
5,0.007605,0.9841,0.9722
6,0.006677,0.9872,0.9745
7,0.005717,0.9878,0.9754
8,0.005104,0.9908,0.9774
9,0.004526,0.9913,0.9780
10,0.004115,0.9924,0.9786
11,0.003725,0.9923,0.9789
12,0.003311,0.9938,0.9789
13,0.003006,0.9941,0.9780
14,0.002731,0.9945,0.9793
15,0.002574,0.9948,0.9794
16,0.002426,0.9950,0.9802
17,0.002301,0.9952,0.9800
18,0.002197,0.9954,0.9798
19,0.002110,0.9955,0.9804
20,0.002042,0.9955,0.9801
21,0.001982,0.9956,0.9800
22,0.001946,0.9957,0.9804
23,0.001902,0.9957,0.9805
24,0.001864,0.9957,0.9801
25,0.001837,0.9958,0.9800
26,0.001811,0.9958,0.9801
27,0.001792,0.9958,0.9798
28,0.001779,0.9958,0.9798
29,0.001761,0.9958,0.9798
30,0.001755,0.9958,0.9796
