Epoch,TrainError,TrainAcc,TestAcc
1,0.028482,0.9517,0.9491
2,0.013353,0.9693,0.9639
3,0.010322,0.9755,0.9682
4,0.008641,0.9780,0.9694
5,0.007411,0.9818,0.9723
6,0.006555,0.9835,0.9716
7,0.005822,0.9848,0.9727
8,0.005155,0.9868,0.9740
9,0.004613,0.9870,0.9734
10,0.004279,0.9872,0.9724
11,0.003919,0.9887,0.9736
12,0.003547,0.9900,0.9740
13,0.003178,0.9904,0.9751
14,0.002996,0.9909,0.9747
15,0.002761,0.9923,0.9771
16,0.002603,0.9925,0.9757
17,0.002507,0.9936,0.9771
18,0.002363,0.9924,0.9763
19,0.002142,0.9936,0.9770
20,0.001998,0.9943,0.9783
21,0.001822,0.9945,0.9781
22,0.001736,0.9946,0.9772
23,0.001676,0.9952,0.9786
24,0.001559,0.9953,0.9788
25,0.001475,0.9954,0.9795
26,0.001405,0.9956,0.9796
27,0.001332,0.9958,0.9795
28,0.001286,0.9958,0.9797
29,0.001226,0.9959,0.9797
30,0.001209,0.9960,0.9799
